gene	number
TP53	149
ARID1A	29
RB1	25
CTNNB1	24
APC	23
KEAP1	20
KMT2D	17
TSC2	17
AXIN1	15
ALK	14
NFE2L2	14
BRCA2	10
FAT1	10
ROS1	10
CDKN2A	9
EP300	9
ERBB4	9
PREX2	9
SMARCA4	9
ARID2	8
EGFR	8
EPHA5	8
HGF	8
KMT2C	8
MSH6	8
NF1	8
NOTCH3	8
PBRM1	8
PIK3CA	8
POLE	8
SMAD4	8
STK11	8
ARID1B	7
ATR	7
BAP1	7
CDKN1B	7
FGFR2	7
GRIN2A	7
JAK1	7
JAK2	7
NOTCH1	7
NTRK1	7
PLCG2	7
STAT3	7
SYK	7
ATM	6
CIC	6
CREBBP	6
DNMT3A	6
EPHA3	6
ERBB3	6
FLT1	6
IDH1	6
KMT2A	6
SETD2	6
SPEN	6
TSC1	6
AMER1	5
ATRX	5
CARD11	5
EPHA7	5
ERG	5
FBXW7	5
IL7R	5
INPP4B	5
JAK3	5
KDM6A	5
KDR	5
KRAS	5
MAP2K1	5
NOTCH2	5
NTRK3	5
PDGFRA	5
PIK3CG	5
RET	5
TGFBR2	5
ALB	4
ASXL1	4
BRCA1	4
BRIP1	4
CDK12	4
ETV6	4
FAS	4
HNF1A	4
IGF1R	4
KIT	4
LYN	4
MAP2K4	4
NTRK2	4
PRDM1	4
RAD51D	4
SOX9	4
TET2	4
TNFRSF14	4
VEGFA	4
ABL1	3
AXL	3
BCL2	3
BCOR	3
CCNE1	3
CSF1R	3
CSF3R	3
CSNK1A1	3
DICER1	3
DOT1L	3
ERBB2	3
ESR1	3
FAM46C	3
FGFR1	3
FGFR4	3
KDM5C	3
MDM4	3
MED12	3
MEN1	3
MLH1	3
MTOR	3
MYCN	3
NAGA	3
NBN	3
NKX2-1	3
NRAS	3
NSD1	3
PALB2	3
PIK3C2G	3
PIK3R1	3
POLD1	3
PTCH1	3
PTEN	3
RAD54L	3
RICTOR	3
RPS6KA3	3
RPTOR	3
SLC34A2	3
SPOP	3
TERT	3
TNFAIP3	3
ABCB1	2
ABCB11	2
ABCG2	2
ACVR2A	2
APOB	2
AR	2
ARAF	2
AREG	2
ARHGEF7	2
BCL2L1	2
BRAF	2
BRD4	2
CALR	2
CCNA1	2
CCND1	2
CDK8	2
CHEK1	2
CPA1	2
CTCF	2
CXCR4	2
CYLD	2
EPHA2	2
EPHB1	2
EZH2	2
FANCA	2
FGF10	2
FGF19	2
FGF3	2
FGFR3	2
FLT4	2
FOXP1	2
G6PC	2
GATA2	2
GATA3	2
GLI1	2
GNAS	2
