gene	number
TP53	533
EGFR	137
RB1	94
KEAP1	83
SMARCA4	73
RBM10	71
APC	70
KMT2D	66
STK11	58
ARID1A	56
FAT1	56
CDKN2A	50
ALK	46
ERBB4	45
NF1	45
NOTCH1	45
SMAD4	43
PIK3CA	42
BRCA2	40
ATM	39
MED12	38
BRCA1	37
PIK3CG	37
ARID2	36
ERBB2	36
SETD2	36
KMT2C	35
EP300	34
PREX2	34
EPHA5	33
NOTCH2	33
NTRK3	32
PIK3C2G	31
EPHA3	30
SPEN	30
ATRX	29
EPHB1	29
KMT2A	29
TET2	29
GNAS	27
GRIN2A	27
PBRM1	26
PDGFRA	26
RET	26
ATR	25
CARD11	25
MET	25
ARID1B	24
GLI1	24
NFE2L2	24
NOTCH3	23
BRAF	22
CTNNB1	22
INHBA	22
KIT	22
MTOR	22
POLE	22
RICTOR	22
CREBBP	21
DDR2	21
EPHA7	21
FBXW7	21
KDR	21
ROS1	21
DNMT3A	20
AMER1	19
BARD1	19
FLT4	19
IL7R	19
KRAS	18
PTEN	18
STAG2	18
FLT1	17
KDM5C	17
MSH6	17
NSD1	17
TGFBR2	17
HGF	16
PTCH1	16
ASXL1	15
BCOR	15
DOT1L	15
ESR1	15
FGFR2	15
GATA3	15
TSHR	15
WT1	15
DPYD	14
PIK3R1	14
PLCG2	14
AR	13
CASP8	13
CBL	13
CDC73	13
CDK12	13
ERBB3	13
ETV6	13
IGF1R	13
JAK3	13
KDM6A	13
RPTOR	13
TERT	13
BRIP1	12
DIS3	12
FGFR4	12
FLT3	12
FUBP1	12
IRF4	12
KDM5A	12
MAP2K1	12
NKX2-1	12
NTRK1	12
PARK2	12
PDGFRB	12
TSC1	12
TSC2	12
ABL1	11
ARAF	11
CEBPA	11
CSF1R	11
DICER1	11
ERRFI1	11
FOXP1	11
INPP4B	11
IRS2	11
MAP3K1	11
MEN1	11
NLRP3	11
PIK3CB	11
RAD50	11
WHSC1	11
BAP1	10
BLM	10
CDH1	10
CIC	10
FGFR3	10
MITF	10
MSH2	10
MSH3	10
PARP1	10
PIK3R2	10
POLD1	10
PPP2R1A	10
RNF43	10
SMAD3	10
SMO	10
AKT3	9
CTCF	9
FANCA	9
FGF4	9
FLCN	9
GNA13	9
MAP2K4	9
