gene	number
TP53	229
KMT2D	51
NFE2L2	41
CDKN2A	39
FAT1	37
NOTCH1	37
RB1	29
KEAP1	28
FBXW7	26
KMT2C	23
PIK3CG	21
EP300	19
ERBB4	19
GRIN2A	19
PREX2	19
EGFR	17
ROS1	17
APC	16
BRCA2	16
ARID1A	15
ATM	15
EPHA3	15
ALK	14
FLT1	14
NF1	14
PIK3CA	14
PTEN	14
ATR	13
BCOR	12
DDR2	12
EPHA5	12
EPHB1	12
TSC2	12
CUL3	11
KDR	11
NSD1	11
SETD2	11
SMARCA4	11
ESR1	10
RICTOR	10
ASXL1	9
CYLD	9
FOXP1	9
GNAS	9
KRAS	9
NOTCH3	9
NTRK1	9
NTRK3	9
PDGFRA	9
POLE	9
STK11	9
TGFBR2	9
WHSC1	9
ATRX	8
CREBBP	8
IL7R	8
KDM6A	8
KIT	8
MET	8
MTOR	8
NTRK2	8
PIK3C2G	8
PRKCI	8
TSC1	8
BAP1	7
BRCA1	7
CIC	7
CXCR4	7
DICER1	7
EZH2	7
FLT4	7
KDM5C	7
RBM10	7
ARID1B	6
ARID2	6
BRIP1	6
CARD11	6
CSF1R	6
ERBB2	6
JAK3	6
NAV3	6
NBN	6
NFKBIA	6
PBRM1	6
PTCH1	6
SPEN	6
ZFHX4	6
CASP8	5
CBL	5
CTCF	5
CTNNB1	5
DOT1L	5
EPHA7	5
ERBB3	5
FGFR2	5
FGFR3	5
FLT3	5
GATA3	5
GLI1	5
HGF	5
IKZF1	5
IRS2	5
JAK2	5
KMT2A	5
MSH2	5
MSH6	5
NOTCH2	5
PAX5	5
PIK3R2	5
PLCG2	5
SMO	5
STAG2	5
ALB	4
AMER1	4
AR	4
ARAF	4
AXL	4
BARD1	4
BRAF	4
DNMT3A	4
FLCN	4
FOXL2	4
IGF1R	4
IGF2	4
JAK1	4
MAP3K1	4
MED12	4
NKX2-1	4
PARP1	4
PDGFRB	4
PIK3CB	4
PPP2R1A	4
RAF1	4
RET	4
RPTOR	4
SLX4	4
TBX3	4
TERT	4
TET2	4
WHSC1L1	4
ABCB1	3
ABCC9	3
ABL1	3
AKT2	3
AKT3	3
ALOX12B	3
BRINP3	3
BTK	3
CCNE1	3
CDH1	3
CEBPA	3
CSMD3	3
CTSS	3
CYP2C19	3
DIS3	3
DPYD	3
ERCC4	3
ETV1	3
ETV6	3
FAS	3
FGFR4	3
GATA2	3
IKBKE	3
INPP4B	3
IRF4	3
JUN	3
LMO1	3
LRP1B	3
MITF	3
MYC	3
NLRP3	3
PALB2	3
RAD21	3
RAD51C	3
RNF43	3
RUNX1	3
RYR2	3
SDC4	3
SF3B1	3
SMAD3	3
SMAD4	3
STAT3	3
SUFU	3
SYK	3
TMPRSS2	3
TNFAIP3	3
TSHR	3
ZNF521	3
ADHFE1	2
AKT1	2
AMPH	2
